0, 1.000000, 0.999975, 0.999950
1, 0.999800, 0.999750, 0.999700
2, 0.999600, 0.999525, 0.999451
3, 0.999400, 0.999300, 0.999201
4, 0.999200, 0.999075, 0.998951
5, 0.999000, 0.998850, 0.998702
6, 0.998800, 0.998625, 0.998452
7, 0.998600, 0.998400, 0.998202
8, 0.998400, 0.998175, 0.997952
9, 0.998200, 0.997950, 0.997703
10, 0.998000, 0.997726, 0.997453
11, 0.997800, 0.997501, 0.997203
12, 0.997600, 0.997276, 0.996953
13, 0.997400, 0.997051, 0.996704
14, 0.997200, 0.996826, 0.996454
15, 0.997000, 0.996601, 0.996204
16, 0.996800, 0.996376, 0.995954
17, 0.996600, 0.996151, 0.995705
18, 0.996400, 0.995926, 0.995455
19, 0.996201, 0.995701, 0.995205
20, 0.996001, 0.995476, 0.994955
21, 0.995801, 0.995251, 0.994706
22, 0.995601, 0.995026, 0.994456
23, 0.995401, 0.994801, 0.994206
24, 0.995201, 0.994576, 0.993956
25, 0.995001, 0.994351, 0.993707
26, 0.994801, 0.994126, 0.993457
27, 0.994601, 0.993901, 0.993207
28, 0.994401, 0.993676, 0.992957
29, 0.994201, 0.993452, 0.992708
30, 0.994001, 0.993227, 0.992458
31, 0.993801, 0.993002, 0.992208
32, 0.993601, 0.992777, 0.991958
33, 0.993401, 0.992552, 0.991709
34, 0.993201, 0.992327, 0.991459
35, 0.993001, 0.992102, 0.991209
36, 0.992801, 0.991877, 0.990959
37, 0.992601, 0.991652, 0.990710
38, 0.992401, 0.991427, 0.990460
39, 0.992201, 0.991202, 0.990210
40, 0.992001, 0.990977, 0.989960
41, 0.991801, 0.990752, 0.989711
42, 0.991601, 0.990527, 0.989461
43, 0.991401, 0.990302, 0.989211
44, 0.991201, 0.990077, 0.988962
45, 0.991001, 0.989852, 0.988712
46, 0.990801, 0.989627, 0.988462
47, 0.990601, 0.989402, 0.988212
48, 0.990401, 0.989178, 0.987963
49, 0.990201, 0.988953, 0.987713
50, 0.990001, 0.988728, 0.987463
51, 0.989801, 0.988503, 0.987213
52, 0.989601, 0.988278, 0.986964
53, 0.989401, 0.988053, 0.986714
54, 0.989201, 0.987828, 0.986464
55, 0.989001, 0.987603, 0.986214
56, 0.988801, 0.987378, 0.985965
57, 0.988602, 0.987153, 0.985715
58, 0.988402, 0.986928, 0.985465
59, 0.988202, 0.986703, 0.985215
60, 0.988002, 0.986478, 0.984966
61, 0.987802, 0.986253, 0.984716
62, 0.987602, 0.986028, 0.984466
63, 0.987402, 0.985803, 0.984216
